ts,mint,symbol,tier,side,usd_flow,tokens_raw_delta,price_impact_pct,note
1786865967.1061351,2FW3eNWNKSkJFdrSUwPC2U8zxu9MjExgVYxR5Wd7pump,TOADLAYER,A,buy,-10.0,22113716436,0.019213185198419712,
1786899827.118944,tUgWWjQc6xSszvMdtWvXPYFPX1iv8CsQN8t4XB3pump,YESBOT,A,buy,-10.0,17992189188,0.00791791536352175,
1787049550.005668,7yqbQhuc9jVMA1XzHbN6awy6cjfUon7ZeTvNLJDvpump,KOTON,A,buy,-10.0,22880152882,0.011877344035757641,
1787126190.8996265,5gkuTAKAskEhhc1D6ACtF6mmstfCg2Ldm5qT4C84pump,ANSEMSZN,A,buy,-10.0,70031421919,0.009602065179230911,
1787148031.6076052,FJBWgfc8wdEeUc2n7BN9EcmEJQUauvvpp9ZXvmF2pump,SOLUG,A,buy,-10.0,76524882950,0.022741146112442663,
1787182867.8320072,2UKkazisyXfWUyLT4eqCgvEV6KNaxqwkHU49htQppump,ANSEMBULL,A,buy,-10.0,40653767340,0.007086426969480752,
1787295702.90451,897wEhKQtCKXuxxoDA8BH9LWnSpdTKLVzqh1J8xFpump,BULLBALLS,A,buy,-10.0,1487520723,0.0027977616813002976,
1787309511.1358447,oW6jSvHLEqk54WHq88bpQjbYB9ZoKbkoNqN3j1npump,TRULL,A,buy,-10.0,55468673260,0.010162552688873044,
1787327509.4710789,GiAXHqgpNXcjMTRVDvUk2kr4ZnARePn8Zg7nCTTZpump,RIKA,A,buy,-10.0,8442461371,0.008382427578039777,
1787331345.9032037,VJdpSDDLof7HuZiNmsRUSL4YCncsk1FGiVoHyAJpump,BREAKING,A,buy,-10.0,6173827199,0.0079857443912678,
1787394823.8949964,918p2GRyDLkhsRvtAHaKZg8yrP5kXSe6CYustqTcpump,CATSZN,A,buy,-10.0,5498901562,0.008953949808381816,
1787477815.4881608,7sAnqhZvNCVKqc3Jj6QVDrdqtmnZJY3NePgXTqRtpump,CallCat,A,buy,-10.0,13047314668,0.008658083921799,
1787485879.01023,7sAnqhZvNCVKqc3Jj6QVDrdqtmnZJY3NePgXTqRtpump,CallCat,A,stop,4.637796,-13047314668,0.00505219680166913,
1787490342.1362069,FW6R4QQeP4fzqRwDHbBkpjHx3ecvYwhd5g7chKg8pump,WINNING,A,buy,-10.0,11063580241,0.009246027644987241,
