mint,scan_ts,sha,symbol,tier,dex,gmgn_ok,n_hc_misses,price_usd,liq_usd,mcap,fdv,vol_h1,vol_h6,vol_h24,buys_h1,sells_h1,price_chg_h1,pair_age_min,score,total_holders,top10_pct,insider_networks_pct,graph_insiders,creator_prior_tokens,rugcheck_score,gmgn_bundler_wallets,gmgn_sniper_wallets,gmgn_smart_wallets
4EKJBc4WdeCViLRCfRx5ieFHfPFuBYhV49527GUBpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,womanlet,B,pumpswap,False,1,0.0001451,30428.48,145146.0,145146.0,101659.88,727730.66,727730.66,1026,879,-13.06,198.23153756510416,71.8,1213,25.9,0.0,0,0,1.0,,,
5z6djd93D4twJD4mi8ST7tdAmA4XmrkovXuJy3mjpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,niglet,B,pumpswap,False,3,0.0001597,31789.54,159738.0,159738.0,354112.05,580447.89,580447.89,2492,2008,609.0,153.9648708984375,58.4,491,29.4,0.0,0,0,1.0,,,
6nWvLtTC7LjaM4L1p1C9kVmsL2HT28Ms23obfnLpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,ANSEM,B,pumpswap,False,4,3.79e-05,15285.29,37887.0,37887.0,22888.44,60938.14,409399.44,237,199,-18.96,1059.9648708984375,55.6,540,32.7,0.0,0,0,1.0,,,
96X4zg5T4NFWzTVFXHsadvYbxbzFX2Rqt3GXUv92pump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,Balloon,B,pumpswap,False,4,4.601e-05,17851.33,46015.0,46015.0,6817.32,38594.26,328250.73,100,70,-6.37,1668.5148708984375,62.0,747,28.6,0.0,0,0,1.0,,,
991L48va9rMiysu3fCpeg5p9bN4NLzhujojzmFtkgacE,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,spurdo,B,pumpswap,False,3,0.0004929,59442.34,492836.0,492836.0,3544.55,63630.47,202995.42,27,43,-5.31,127514.3815375651,29.6,1048,29.4,2.8,4,0,1.0,,,
9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,67,B,pumpswap,False,1,0.002728,337679.72,2727222.0,2727222.0,6471.4,29452.1,424634.84,36,16,-3.09,415124.5482042318,45.7,32599,0.0,0.0,0,0,1.0,,,
AnSem47wDeFBCnnuw2owzbBDT9pRzZDUBoSBXfbDpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,WEN,B,pumpswap,False,4,2.96e-05,13549.65,29608.0,29608.0,3988.09,21885.57,146604.98,57,37,-5.06,2465.9982042317706,50.7,433,32.5,0.0,0,0,29.0,,,
BBhHEEs8bCPchS8S8EX744ExVrMD9xjGy8CXepctpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,ansemwifhat,B,pumpswap,False,3,3.363e-05,17994.05,33633.0,33633.0,5754.05,45258.27,3581210.01,120,156,-13.77,1508.9815375651042,61.7,64003,38.2,0.0,0,0,1.0,,,
CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,Franklin,B,pumpswap,False,1,9.541e-05,52059.8,93152.0,93152.0,6267.18,41692.05,45070.87,43,41,-22.54,309882.01487089845,41.8,21543,0.0,0.0,0,0,1.0,,,
H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,1783181771.8922539,715d96828cda6f755a5448f062900ccae946de35,LMAO!,B,pumpswap,False,2,0.002871,248329.15,2870097.0,2870097.0,18525.85,136843.04,220809.24,92,63,-4.35,373755.9315375651,35.0,11932,16.2,1.2,4,0,1.0,,,
71HtXHfexjKgem92Y5sPLPb6qkmtqWmPUzdKAcU9pump,1783181875.5135114,85bca6b1310aa3c3355693abefd20c553bc3a69e,trumplet,A,pumpswap,False,0,0.000468,53967.02,468065.0,468065.0,128371.24,700958.25,700958.25,2892,1025,49.08,162.6752251912435,71.9,1481,7.0,0.0,0,0,1.0,,,
MtJEwiCNkPyNFB3bfz78P6rfhzrHaTgEojqsJNJpump,1783181875.5135114,85bca6b1310aa3c3355693abefd20c553bc3a69e,TMB,B,pumpswap,False,1,0.002079,147707.65,2079538.0,2079538.0,113639.42,1499664.05,8639295.54,1239,1236,-13.88,12388.908558524578,62.3,8576,11.3,0.0,0,0,1.0,,,
3MjoqwNyvoeqneWpzbHqTcJMHZE9FfqYbSg3cQCzpump,1783190161.5750926,a776dbd5706783cd825190a91ae19512b9f350f1,KORA,B,pumpswap,False,3,5.44e-05,17982.56,54409.0,54409.0,83045.12,145917.72,145917.72,847,689,7.9,71.17625154215494,51.6,202,19.6,0.0,0,0,1.0,,,
CkL5aL9TGw5v3avjcSo416v5RkKbEcdHd2TzpfkXpump,1783190161.5750926,a776dbd5706783cd825190a91ae19512b9f350f1,tatelet,B,pumpswap,False,4,1.89e-05,10537.14,18906.0,18906.0,35056.5,133060.52,133060.52,553,449,-21.79,129.7429182088216,56.9,453,30.7,0.0,0,0,1.0,,,
5pYB12kEhfhSFXJjZ7JtyqDpt6uUqhsF6iu6Ee9spump,1783194590.4367301,97e9c7832ec53fe358454fb97062a33e7fe59d34,CATWIF,B,pumpswap,False,4,0.001375,175150.35,1319993.0,1374992.0,64203.19,349338.86,1261308.19,655,674,-1.0,18049.49061217041,35.5,12028,28.1,1.3,9,0,1.0,,,
8axDfNi43n79meuEWP85iGiaA9bhCKNGj9Xctnvipump,1783194590.4367301,97e9c7832ec53fe358454fb97062a33e7fe59d34,FERRE,B,pumpswap,False,3,8.664e-05,22469.58,86643.0,86643.0,57422.97,57422.97,57422.97,829,572,155.0,11.37394550374349,29.3,41,4.6,0.0,0,0,1.0,,,
2ZvFgTyLMrgyLmoPHtD5KsTyALh14ffzxJoni4oPpump,1783201362.2889209,42758e872e167b7c121b357918f5dc3bac6a9b6a,BOGE,B,pumpswap,False,3,0.0001416,31316.96,141600.0,141600.0,11736.82,52897.28,100034.19,43,38,12.48,8598.354815348308,26.2,816,37.2,0.0,0,0,46.0,,,
EXTvbbAKdhASAazTfDmR1FhwFeQBrbz1uqcxFk6E1jAF,1783201362.2889209,42758e872e167b7c121b357918f5dc3bac6a9b6a,bullsem,B,pumpswap,False,4,4.536e-05,16413.34,45351.0,45351.0,26506.04,71791.33,199062.59,455,226,11.02,1222.3048153483073,58.1,400,28.5,0.0,0,0,1.0,,,
FAi4gCCDWAezmzvsenghCqNaw7t3G8mTDxt7gEDTpump,1783204925.68645,2bc146f7c79890c16c777f0c36d060b1e0f8fd71,MAGSEM,B,pumpswap,False,3,6.345e-05,19278.71,63458.0,63458.0,79969.01,79969.01,79969.01,1656,690,88.32,25.0781074991862,50.7,248,3.7,0.0,0,0,1.0,,,
6mUXxdGMtxKDSw6zXiarQ5mgP3UC1LBzu9LjgXhFpump,1783208805.613229,f873c0bfc213ba1761b9556e626f4cbfe7fa036b,AnsemIRL,B,pumpswap,False,3,0.0001662,31468.43,166267.0,166267.0,193433.21,193433.21,193433.21,2100,1546,422.0,28.81022048339844,46.3,601,22.5,0.0,0,0,1.0,,,
7DWRAaAecR2bhPRUjg7VN6XqoXpRYCRqsq7W6t2Vpump,1783214847.2179768,6c886823028a8599ae11b1c9d8fdfc09a38f0417,BOB,B,pumpswap,False,2,7.256e-05,29762.45,68902.0,68902.0,10933.58,34588.08,37043.22,82,56,-23.21,30207.43696628011,34.7,1311,29.1,0.0,0,0,1.0,,,
E7wbcQSGnuC29vNeDX8SrosiD46piaUnBHTg5X8apump,1783214847.2179768,6c886823028a8599ae11b1c9d8fdfc09a38f0417,Meep,B,pumpswap,False,3,0.0001493,33524.22,149020.0,149020.0,30712.67,72849.69,110158.24,108,90,0.25,14519.303632946778,22.8,574,32.8,0.0,0,0,1.0,,,
BJR8CP2s2tiuqhp1kVLGsjTqkb3a3om3CbPttrBEKcq5,1783230363.7648876,abdce4f90beab414d89c08b1b82345edb0667eec,GIGANSEM,B,pumpswap,False,3,2.914e-05,13325.51,29146.0,29146.0,3975.67,17781.41,381565.99,38,34,20.88,1176.4460814575195,66.4,3867,31.9,0.0,0,0,1.0,,,
H6QG1XUwKpXB94kJUzkcn4GaD3yzYTcm7xbBf4aopump,1783230363.7648876,abdce4f90beab414d89c08b1b82345edb0667eec,nsmb,B,pumpswap,False,5,2.251e-05,11313.96,22512.0,22512.0,19772.05,66524.12,66524.12,297,243,30.15,122.21274812418619,52.8,324,31.7,6.6,5,0,1.0,,,
49tvQ5zXMxHu7mk6nqcCe9SrQ5ePxBFSKFX5jvDgpump,1783240380.285795,297698d71c836cfcae6bbd032e0eaefa1e9c7be7,Fedja,B,pumpswap,False,5,2.491e-05,11912.01,24558.0,24558.0,48139.24,48139.24,48139.24,881,676,-26.06,22.854763248697918,43.4,316,31.2,2.0,4,0,1.0,,,
4PRz3EwhbjrrX6YksMDuUzrXT51pr7CQtXNCravhpump,1783240380.285795,297698d71c836cfcae6bbd032e0eaefa1e9c7be7,ACM,B,pumpswap,False,3,0.001558,100609.66,1558784.0,1558784.0,451868.36,2440408.46,2440408.46,2096,1855,-1.8,215.1047632486979,53.1,1484,36.8,7.8,4,0,30.0,,,
5xRRRd1fhGyBY2u31isvkL3rLtYUFXvau3JgkwiKpump,1783240380.285795,297698d71c836cfcae6bbd032e0eaefa1e9c7be7,LFG,B,pumpswap,False,4,3.305e-05,13906.17,33059.0,33059.0,42233.78,164038.97,164038.97,640,492,-72.21,173.82142991536458,63.8,666,27.8,0.0,0,1,1.0,,,
ChJqQSFK1JUPCaoGrtKM1Nm5k29ZdbHQ8kiVNuhppump,1783240380.285795,297698d71c836cfcae6bbd032e0eaefa1e9c7be7,BullWorld,B,pumpswap,False,2,0.000156,32255.73,155609.0,155609.0,82028.07,1235281.14,1235281.14,850,618,-31.41,317.6880965820313,73.6,1730,25.6,1.1,5,0,1.0,,,
29pNSDP2nSzQVMXjqc5HtLmnu4yK7JfZuKP9Lb3Epump,1783248540.176173,f6ab3263e33e8cdf7a0e21e0eeaf7e0d77e7a2cb,Elon,B,pumpswap,False,6,4.926e-05,17119.69,49263.0,49263.0,259276.04,259276.04,259276.04,3371,2816,49.35,19.752936214192708,61.9,569,24.3,5.1,12,0,1.0,,,
3xaDR6gxCp92SZRJ1zMigoRAUMkQGNmFF9HvGT94pump,1783248540.176173,f6ab3263e33e8cdf7a0e21e0eeaf7e0d77e7a2cb,LISA,B,pumpswap,False,3,5.229e-05,17980.8,52299.0,52299.0,499571.81,527086.94,527086.94,5930,5229,89.16,64.28626954752605,72.7,1088,22.8,8.7,4,0,1.0,,,
Dur39Hv43Uw4HU9Zr4RUB7mH6kqmYdPpZfENup6Xpump,1783248540.176173,f6ab3263e33e8cdf7a0e21e0eeaf7e0d77e7a2cb,3301,B,pumpswap,False,4,0.0001462,29733.74,146270.0,146270.0,23846.17,311964.12,427194.3,229,221,34.63,1021.5029362141927,59.2,757,32.0,3.3,4,0,1.0,,,
