mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
BDbNwA95183CdqUhx2P6R3fWXbefubVbx2wNnCp6pump,0,0,0,nan,0,37,3600,nan,nan,nan,-0.0992490902938058,0.23027988213256215,0.41105146298624995,25.718361588243614
F7bFfkHxLuXuuoeX3SQDM9PDhBABVEVFmter8nnRpump,0,0,0,nan,0,,,,,,,,,
AVw5JG15f4rUVqGm9ogkt46z3hqFrc2A9w3fXSSfpump,0,0,0,nan,0,,,,,,,,,
4Q1nYg8tNm3pdioSNyF2gkHjHqJaqzCT6udubCPspump,0,0,0,nan,0,,,,,,,,,
SPCXwBHVrKpRqMRawL3NNvt1sXP2Yf3edwRbta53N69,0,0,0,nan,0,,,,,,,,,
HS4DWjgJ2h51PCnhh95saqgLQ21Zps6VABK1vi9gpump,0,0,0,nan,0,22,3600,nan,nan,nan,-0.14743576058295116,0.3456360688769672,1.0518967416507043,56.664110088857186
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,0,0,0,nan,0,120,3600,nan,nan,nan,-0.020107147878101528,0.3579796298271804,0.5233642404100605,0.09841360027637092
86WQZC9cW2YQyVcTjpNGqq56YN87TwP8bhm3NnrVpump,0,0,0,nan,0,,,,,,,,,
ERBATen21ug99H7p2C21fCim9TQpBBM79QT9VX4Jpump,0,0,0,nan,0,,,,,,,,,
4EKJBc4WdeCViLRCfRx5ieFHfPFuBYhV49527GUBpump,60,60,10,nan,1,5,3600,nan,nan,nan,-0.3158335462851697,0.7701833466360244,0.47437830437917966,1.8153311210521226
96X4zg5T4NFWzTVFXHsadvYbxbzFX2Rqt3GXUv92pump,60,60,10,nan,1,,,,,,,,,
BBhHEEs8bCPchS8S8EX744ExVrMD9xjGy8CXepctpump,60,60,10,nan,1,26,3600,nan,nan,nan,-0.46291194396840407,0.9191635989193332,0.8680598288145506,-0.42486201414279967
5z6djd93D4twJD4mi8ST7tdAmA4XmrkovXuJy3mjpump,60,60,10,nan,1,,,,,,,,,
6nWvLtTC7LjaM4L1p1C9kVmsL2HT28Ms23obfnLpump,60,60,10,nan,1,,,,,,,,,
AnSem47wDeFBCnnuw2owzbBDT9pRzZDUBoSBXfbDpump,60,60,10,nan,1,43,3600,nan,nan,nan,-0.16822444295706063,0.34039516533614655,0.6343207544886708,-0.3167121355713375
9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,60,60,10,nan,1,,,,,,,,,
CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,60,60,10,nan,1,120,3600,nan,nan,nan,-0.06900602861427618,0.1499040803039568,0.6640571536297865,0.4825285855727566
H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,60,60,10,nan,1,,,,,,,,,
991L48va9rMiysu3fCpeg5p9bN4NLzhujojzmFtkgacE,60,60,10,nan,1,120,3600,nan,nan,nan,0.061540944557622934,0.15973342719189268,1.40006862479528,-0.2114060218213537
71HtXHfexjKgem92Y5sPLPb6qkmtqWmPUzdKAcU9pump,120,120,21,nan,2,,,,,,,,,
