mint,symbol,tier,alert_ts,res,n_bars,label,outcome,t_to_tp_s
7qg3pYUswNjtqVqMFVuY8wtv2Z269oT2UGdxjpxTpump,HONOR,B,1786545664.267759,1m,64,0,sl,
GCa9TZMK9Q3VUSkhZgX76YAQBjqQd1dPxkBnZojFpump,Plumber,B,1786541785.5847156,1m,91,0,neither,
7ZgRjHSnjDqc73mYitJZ4NAAVtdWrTyQEnoXB6Kfpump,apes,B,1786529780.8319373,15m,22,1,tp,7119.2
2GynKFz6gBLPgqRNwEQg3uoir3rpCDk4mHZAtnAQpump,ELEPHANT,B,1786520743.6997414,15m,32,0,sl,
54CrAcw3mhAxP2QgFUTubeXTidtXtEowpDTL7b7Epump,toad,B,1786520743.6997414,15m,16,1,tp,6256.3
8LkH4DDkVRpoZYYYWBi5KGmqkCeR9GRs4aSEFT4qpump,BHENCHOD,B,1786514511.3698885,15m,39,0,sl,
5qHUGTgkRaDrSNGgQg5wQxb5tDrzEW5ewuGpSS3jpump,FOMEOW,B,1786514511.3698885,15m,39,0,neither,
WBYchcKpzDMqUjEQfLUTNyLpGR1KADxPERNxQmkpump,CATLAS,B,1786502239.9382107,15m,8,0,sl,
BEXzfc6t4hjEV7vwH1d2FiTbuEpuFb9uNhbEjmHpump,ZAPPER,B,1786502239.9382107,15m,27,0,sl,
AJ55bVbXf9fHmMWLqaUq8ZckmAokZwVNzDJVymEQpump,LUIGI64,B,1786486101.0193298,1m,889,0,sl,
4S2qS8P17LSPosME8grirgfUE4p6kW2kZfMSzgmDpump,DOT,B,1786468570.7675512,15m,40,0,sl,
6WMszYPHAxEFgstkEpyRRwzaVtA9eM5pWvSf8v7qpump,TOADGUY,B,1786464800.197141,15m,95,1,tp,27999.8
BoBQZP9YgCRqVqkaBHuxL4xizKHgTFs8n3rRaXaWpump,Splash Dog,B,1786461032.9674122,1h,24,0,sl,
4je81UzH57Z1CoshknjeeidXv9qfL4tiUs4kn7d5pump,USDUF,A,1786461032.9674122,15m,99,1,tp,26367.0
2WD9gyvzQHs44BW8YmfAe5Lr8Ty67vg55oK8rNXHpump,Troot,B,1786437542.5462582,1h,31,1,tp,1257.5
Cp467wsLc1axm5uMtXTLzgRSAmVVgm8eyTpxD9RTpump,CHILLFROG,B,1786437542.5462582,15m,58,1,tp,6657.5
wdBeJWMASdN9yJdqLQGf7aqDGPEttUvUJ7CaGm2pump,TIP,B,1786420656.2487879,15m,10,0,sl,
BdmpcoZpRyKXHzEBKcrW2Vpq3cDY45xVPPJuPMQNpump,ZEUS,B,1786398745.3985655,15m,83,0,sl,
GKKRT5J6XCPK3arwfTuFJSjhquZZKoH3dqkK444Zpump,SNORLY,B,1786395424.3283577,15m,24,0,sl,
mReC6EP5fcyFPo32AhndzKh3248q4Ne666Tp6G7pump,PONDE,B,1786395424.3283577,15m,17,0,sl,
EqqL7ikNg75VJmZe2KJPZ555SLPzKBinexovP9Tgpump,auhctoJ,B,1786392288.3806615,15m,72,1,tp,2411.6
5nRGHJZ93pMKJo2ayCBxvKqWCsZKCbzQBrBave5xpump,FROGOS,B,1786381995.5730684,15m,39,1,tp,7304.4
EHuJuRhEi8vZiajJGm4w1o2aA1vftwSZajaWfcQwpump,OGGIE,B,1786378338.0824606,15m,171,0,neither,
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump,TOESCOIN,B,1786378338.0824606,15m,183,0,neither,
496d5krb88p91EnNSMDh6ULG32F5413wYEvtZjmHpump,404,B,1786370516.2363555,15m,131,0,neither,
8Bq4XvNTgGTjkZxtU9hsxPnVabtJsKJ7bj2Cq1r1pump,MACI,B,1786361871.7691379,15m,119,0,neither,
CVfniqNEj2f4Yd8Z4TEtaTU49gWNTwUyCiDDUbsZpump,KNS,B,1786361871.7691379,1h,46,0,neither,
5wAFaNgPsHo22BtKgPWrZGAgng7XfZodBXa811sCpump,OINK,B,1786354980.7531564,15m,19,0,sl,
