scan_ts,discovered,enriched,n_survivors,n_a
1783181771.8922539,60,57,10,0
1783181875.5135114,60,56,11,1
1783190161.5750926,60,57,4,1
1783194590.4367301,60,56,5,0
1783197584.261064,60,60,4,0
1783201362.2889209,60,60,7,1
1783204925.68645,60,60,4,1
1783208805.613229,60,60,3,0
1783214847.2179768,60,55,6,1
1783230363.7648876,60,55,7,1
1783240380.285795,60,55,7,1
1783248540.176173,60,56,8,1
1783253162.6903172,60,53,11,2
1783259067.6738563,60,52,6,0
1783259287.8583517,60,56,8,0
1783260256.215785,60,56,4,0
1783265053.008341,60,52,3,0
1783269470.144659,60,54,5,0
1783273785.4759328,60,51,3,0
1783277547.901361,60,51,4,0
1783282811.321823,60,54,7,0
1783287052.7465112,60,56,5,0
1783290883.493874,60,55,3,0
1783294827.317896,60,54,6,0
1783301262.476752,60,51,5,0
1783318082.8488464,60,56,3,0
1783336107.56336,60,54,4,0
1783348743.9313614,60,52,6,1
1783359043.548683,60,54,7,0
1783365648.8071306,60,52,6,0
1783371998.7240024,60,50,5,0
1783377227.475578,60,52,4,0
1783381317.7284455,60,53,2,0
1783387663.4119222,60,51,5,0
1783403326.6227763,60,57,6,0
1783414634.417662,60,55,6,0
1783426041.404913,60,51,7,0
1783437601.688591,60,55,9,0
1783445373.5197594,60,56,7,0
1783452203.2254553,60,52,4,0
1783458562.4328148,60,55,4,0
1783463609.1887023,60,52,8,0
1783467142.8631387,60,52,6,0
1783472729.4989338,60,53,8,0
1783484855.774943,60,51,5,0
1783494563.8145716,60,55,5,0
1783503678.5193837,60,51,4,0
1783510324.245061,60,55,4,0
1783516354.799564,57,53,8,0
1783525070.9213862,60,51,9,0
1783530800.9131336,60,59,8,0
1783536636.8811502,59,52,7,0
1783541680.5401547,60,55,3,0
1783546441.725403,60,56,4,0
1783550283.3927965,55,50,1,0
1783554811.0635178,57,53,5,0
1783570029.827361,51,48,3,0
1783583441.280578,60,57,8,0
1783593716.0227187,52,43,8,1
1783604361.2222955,54,51,4,2
1783613865.456095,55,45,6,1
1783620833.37192,49,39,4,2
1783627827.9273016,55,51,4,2
1783633843.1912048,50,43,7,2
1783637965.0525239,53,50,8,2
1783642501.8511817,55,53,9,2
1783657670.9316947,55,50,9,2
1783670469.1357296,52,46,6,2
1783682124.841893,47,43,5,1
1783689692.802137,52,50,10,1
1783698166.2871938,50,44,9,1
1783704661.246533,50,44,8,0
1783710428.8860962,44,41,7,0
1783716063.4820795,52,49,9,1
1783719899.4782128,48,39,6,0
1783723463.7705624,46,38,4,0
1783726944.7980835,48,45,6,0
1783732364.7569454,48,42,4,0
1783744329.6745577,47,41,5,0
1783751954.31054,51,43,7,0
1783758630.986823,48,42,6,0
1783764232.1338782,48,40,9,0
1783768569.9859421,45,36,6,0
1783771708.5728903,45,41,5,0
1783778270.7610312,49,44,6,0
1783782448.1370451,42,36,3,0
1783786379.2608607,49,41,4,0
1783790750.182517,51,46,5,0
1783794605.4611638,44,38,2,0
1783799207.4638817,50,40,6,0
1783801959.2638805,46,36,4,0
1783805255.6886463,44,40,4,0
1783808871.491662,49,46,3,0
1783812793.977901,50,49,2,0
1783818558.8293233,48,38,5,0
1783831400.7820735,39,38,1,0
1783840754.0774825,44,38,0,0
1783848069.2811618,48,47,1,0
1783853304.62889,44,41,3,0
1783856823.0068853,45,39,2,0
1783860124.9634027,45,43,3,0
1783865923.436772,40,30,1,0
1783870137.280825,46,42,2,0
1783873892.5805342,46,38,1,0
1783877842.3195333,46,44,2,0
1783881661.1302843,50,41,2,0
1783886163.9205482,51,42,4,0
1783890125.4051747,53,46,3,0
1783893727.6334796,42,32,2,0
1783897276.3579276,45,41,2,0
1783901092.3895533,42,35,2,0
1783914754.6555707,46,39,1,0
1783927920.9829576,56,49,3,0
1783939231.4222093,47,42,7,0
1783948141.0077858,48,41,7,0
1783958476.4940856,51,45,10,1
1783965781.838128,54,49,7,0
1783971743.9647417,53,48,4,0
1783975474.9976625,58,52,3,0
1783978770.221718,53,48,2,0
1783982419.1383076,48,38,2,0
1783985885.598573,54,45,3,0
1783991137.9319491,54,48,5,0
1784002432.5481284,60,56,6,0
1784010577.6468673,52,46,7,0
1784018389.3432217,58,53,8,0
1784024811.8400714,56,52,5,0
1784030371.2520242,52,48,7,0
1784038027.822069,54,50,7,0
1784043723.9963634,58,51,5,0
1784048131.8931777,48,45,5,0
1784052792.4218676,54,47,6,0
1784058469.974277,53,48,7,0
1784061973.764392,59,55,7,0
1784065268.1300707,54,49,8,0
1784068930.0469458,54,49,10,0
1784072233.1212554,50,48,5,0
1784077068.6222556,52,43,5,0
1784088786.7034807,59,57,6,0
1784097097.4736307,55,49,8,0
1784105819.129351,59,49,8,0
1784113215.2784393,56,52,7,0
1784118120.0773509,55,52,5,0
1784125028.3079994,59,52,4,0
1784130903.4055033,49,39,5,0
1784136818.4995625,51,43,5,0
1784140932.4456499,52,43,5,0
1784145363.3488066,50,43,5,0
1784149857.014125,55,51,4,0
1784153808.6181228,56,49,5,0
1784157354.0544517,59,53,5,0
1784160792.3654718,60,55,7,0
1784173379.35586,55,48,7,0
1784181987.1401234,59,51,8,0
1784190638.3416283,59,55,9,0
1784197859.657422,53,49,8,0
1784203508.8016098,54,48,9,0
1784211430.9753966,56,55,10,0
1784217009.0077693,57,50,9,0
1784221050.6426828,53,43,7,0
1784225680.5790966,57,47,11,0
1784230594.3570747,49,39,10,0
1784233923.7310495,54,47,9,0
1784237963.3874085,54,43,10,0
1784241745.9598837,50,44,10,0
1784245366.2713666,51,42,14,0
1784250923.6223779,58,49,12,0
1784262575.8227763,47,41,9,1
1784271574.0957136,57,55,7,1
1784279846.458418,58,53,7,1
1784285963.88234,60,54,8,0
1784290681.9581602,58,51,11,1
1784297266.874496,60,51,10,1
1784303246.6853828,54,46,11,1
1784307172.6365755,55,50,8,0
1784312029.0912762,54,51,3,0
1784316975.780245,55,46,2,0
1784320302.4961452,54,44,2,0
1784323543.3415284,54,51,4,0
1784327184.7185616,58,54,4,0
1784330988.255826,54,47,6,0
1784336484.1178386,47,42,4,0
1784347733.7676651,50,44,6,0
1784355820.155117,50,44,8,0
1784363081.822366,49,48,7,0
1784368937.8729506,56,50,9,0
1784373233.0295973,57,49,11,0
1784376478.1796863,54,46,9,0
1784382805.5678825,52,44,6,0
1784387191.4210322,50,45,7,0
1784390860.4171813,52,45,7,0
1784395526.0009546,44,39,7,0
1784399505.140585,46,36,7,0
1784403967.4097662,50,47,9,0
1784406745.4812624,54,50,8,0
1784410148.1111774,49,45,3,0
1784413654.9528499,57,53,7,0
1784417529.9827857,52,42,4,0
1784423163.242251,55,51,4,0
1784435509.3834405,44,37,3,0
1784444954.0772235,47,43,3,0
1784452889.124023,51,46,6,0
1784458112.3001544,50,43,10,0
1784461521.191625,50,47,8,0
1784464816.303522,50,43,5,0
1784470542.123143,53,50,6,0
1784474780.9108715,54,51,5,0
1784478604.7406225,53,49,5,0
1784482542.4741213,53,49,3,0
1784486046.6416783,51,48,5,0
1784490486.6314902,51,41,3,0
1784493179.6029446,51,45,2,0
1784496529.1355813,53,44,4,0
1784500183.442293,51,45,3,0
1784504013.661191,51,44,2,0
1784509738.1294131,54,50,3,0
1784523363.6648958,57,47,5,0
1784535272.0709136,54,48,7,0
1784546213.5056517,55,45,3,0
1784553596.7175272,51,41,3,0
1784561041.4928071,49,39,3,0
1784567038.943801,45,35,5,0
1784574217.3029847,48,40,7,0
1784579857.1566837,51,43,7,0
1784584342.9339533,50,42,5,0
1784589024.9412014,54,44,5,0
1784592877.3460135,48,39,5,0
1784605880.0897858,56,50,10,0
1784614777.5927963,50,43,7,0
1784624759.385106,51,44,8,0
1784632615.985577,49,39,7,0
1784638027.4620385,51,41,8,0
1784645425.8006566,53,44,5,0
1784650218.2542684,54,44,6,0
1784656108.4810183,53,46,6,0
1784660297.579564,41,32,4,0
1784665380.4694493,44,34,4,0
1784670168.9495583,54,45,7,0
1784673576.1281075,54,45,7,0
1784677416.3649523,54,44,5,0
1784682636.2943857,49,43,6,0
1784695075.8533614,50,43,4,0
1784705165.6878576,56,48,3,0
1784714606.3754215,59,49,3,0
1784721551.1301606,51,47,5,0
1784729865.2143664,55,45,8,0
1784735639.5929372,46,39,7,0
1784741746.5697923,49,39,4,0
1784745907.1178763,44,34,4,0
1784750483.0927978,48,43,5,0
